ID,Nom,Année de sortie,Classification,Durée,Genre,Note,Nombre de votant,Revenus
937,Requiem pour un massacre - Va et regarde,(1985),Tous publics avec avertissement,142 min,"Drama, Thriller, War","8,4",,
938,Braveheart,(1995),Tous publics,178 min,"Biography, Drama, History","8,4",1 054 244,$75.60M
939,Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,(1964),Tous publics,95 min,"Comedy, War","8,4",499 657,$0.28M
940,Le Bateau,(1981),Tous publics,149 min,"Drama, War","8,4",255 310,$11.49M
941,Les sentiers de la gloire,(1957),(Banned),88 min,"Drama, War","8,4",,
942,Le dictateur,(1940),Tous publics,125 min,"Comedy, Drama, War","8,4",228 330,$0.29M
943,Inglourious Basterds,(2009),12,153 min,"Adventure, Drama, War","8,3",1 488 342,$120.54M
944,Full Metal Jacket,(1987),13,116 min,"Drama, War","8,3",757 334,$46.36M
945,Lawrence d'Arabie,(1962),Tous publics,218 min,"Adventure, Biography, Drama","8,3",300 580,$44.82M
946,Jugement à Nuremberg,(1961),Tous publics,179 min,"Drama, War","8,3",,
947,Ayla,(2017),,125 min,"Biography, Drama, History","8,3",,
948,Shershaah,(2021),13,135 min,"Action, Biography, Drama","8,3",,
949,1917,(2019),Tous publics avec avertissement,119 min,"Action, Drama, War","8,2",618 558,$159.23M
950,La chute,(2004),Tous publics avec avertissement,156 min,"Biography, Drama, History","8,2",361 879,$5.51M
951,Le labyrinthe de Pan,(2006),12,118 min,"Drama, Fantasy, War","8,2",680 040,$37.63M
952,Autant en emporte le vent,(1939),Tous publics,238 min,"Drama, Romance, War","8,2",321 986,$198.68M
953,La Grande Évasion,(1963),Tous publics,172 min,"Adventure, Drama, History","8,2",249 148,$12.10M
954,Ran,(1985),Tous publics,162 min,"Action, Drama, War","8,2",128 849,$4.14M
955,Jeu dangereux,(1942),Tous publics,99 min,"Comedy, Romance, War","8,2",,
956,Uri: The Surgical Strike,(2019),,138 min,"Action, Drama, History","8,2",66 889,$4.19M
957,Montagne II,(2016),,135 min,"Action, Drama, War","8,2",,
958,Tu ne tueras point,(2016),12,139 min,"Biography, Drama, History","8,1",547 817,$67.21M
959,Platoon,(1986),12,120 min,"Drama, War","8,1",422 698,$138.53M
960,Voyage au bout de l'enfer,(1978),12,183 min,"Drama, War","8,1",346 211,$48.98M
961,Barry Lyndon,(1975),Tous publics,185 min,"Adventure, Drama, War","8,1",,
962,Hôtel Rwanda,(2004),Tous Public,121 min,"Biography, Drama, History","8,1",361 493,$23.53M
963,Le pont de la rivière Kwaï,(1957),Tous publics,161 min,"Adventure, Drama, War","8,1",225 338,$44.91M
964,À l'Ouest rien de nouveau,(1930),Tous publics,152 min,"Drama, War","8,1",65 397,$3.27M
965,Les Plus Belles Années de notre vie,(1946),Tous publics,170 min,"Drama, Romance, War","8,1",66 955,$23.65M
966,Underground,(1995),,170 min,"Comedy, Drama, Fantasy","8,1",59 570,$0.17M
967,Le message,(1976),Tous Public,177 min,"Biography, Drama, History","8,1",,
968,La bataille d'Alger,(1966),Tous publics,121 min,"Drama, War","8,1",62 299,$0.06M
969,Le mécano de la Générale,(1926),Tous publics,67 min,"Action, Adventure, Comedy","8,1",93 708,$1.03M
970,La grande illusion,(1937),Tous Public,113 min,"Drama, War","8,1",37 608,$0.17M
971,Mandarines,(2013),Tous publics,87 min,"Drama, War","8,1",47 469,$0.14M
972,Dara iz Jasenovca,(2020),R,130 min,"Drama, War","8,1",81 388,$0.05M
973,Imitation Game,(2014),Tous publics,114 min,"Biography, Drama, Thriller","8,0",787 693,$91.13M
974,Ip man,(2008),12,106 min,"Action, Biography, Drama","8,0",,
975,La Voix d'Aida,(2020),Tous publics,101 min,"Drama, History, War","8,0",,
976,Persepolis,(2007),Tous publics,96 min,"Animation, Biography, Drama","8,0",96 987,$4.45M
977,Stalag 17,(1953),Tous Public,120 min,"Comedy, Drama, War","8,0",,
978,Au revoir les enfants,(1987),Tous publics,104 min,"Drama, War","8,0",34 881,$4.54M
979,L'enfance d'Ivan,(1962),Tous publics,95 min,"Drama, War","8,0",,
980,Frères de sang,(2004),12,140 min,"Action, Drama, War","8,0",40 339,$1.11M
981,"Le Bon, la brute, le truand",(1966),12,161 min,"Adventure, Western","8,8",775 836,$6.10M
982,Il était une fois dans l'Ouest,(1968),Tous publics,165 min,Western,"8,5",336 561,$5.32M
983,Django Unchained,(2012),12,165 min,"Drama, Western","8,4",1 595 648,$162.81M
984,Impitoyable,(1992),Tous publics,130 min,"Drama, Western","8,2",420 190,$101.16M
985,...et pour quelques dollars de plus,(1965),18,132 min,"Drama, Western","8,2",262 364,$15.00M
986,Le Trésor de la Sierra Madre,(1948),Tous publics,126 min,"Adventure, Drama, Western","8,2",127 733,$5.01M
987,L'homme qui tua Liberty Valance,(1962),12,123 min,"Drama, Western","8,1",,
988,La ruée vers l'or,(1925),Tous publics,95 min,"Adventure, Comedy, Drama","8,1",113 713,$5.45M
989,Sholay,(1975),,204 min,"Action, Adventure, Comedy","8,1",,
990,Danse avec les loups,(1990),Tous publics,181 min,"Adventure, Drama, Western","8,0",275 826,$184.21M
991,The Revenant,(2015),12,156 min,"Action, Adventure, Drama","8,0",826 225,$183.64M
992,Butch Cassidy et le Kid,(1969),Tous publics,110 min,"Biography, Crime, Drama","8,0",220 501,$102.31M
993,Rio Bravo,(1959),,141 min,"Drama, Western","8,0",64 978,$12.54M
994,Le train sifflera trois fois,(1952),Tous publics,85 min,"Drama, Thriller, Western","8,0",106 750,$9.45M
995,Pour une poignée de dollars,(1964),Tous publics,99 min,"Action, Drama, Western","7,9",223 058,$14.50M
996,La prisonnière du désert,(1956),Tous publics,119 min,"Adventure, Drama, Western","7,9",,
997,La Horde sauvage,(1969),18,145 min,"Action, Adventure, Drama","7,9",87 236,$12.06M
998,Tombstone,(1993),Tous publics,130 min,"Biography, Drama, History","7,8",155 496,$56.51M
999,Les 8 Salopards,(2015),12 avec avertissement,168 min,"Crime, Drama, Mystery","7,8",622 080,$54.12M
1000,Josey Wales hors-la-loi,(1976),Tous publics,135 min,Western,"7,8",76 396,$31.80M
1001,La rivière rouge,(1948),,133 min,"Drama, Western","7,8",,
1002,La Chevauchée fantastique,(1939),Tous publics,96 min,"Adventure, Drama, Western","7,8",,
1003,Wind River,(2017),12,107 min,"Crime, Drama, Mystery","7,7",261 889,$33.80M
1004,Les 7 mercenaires,(1960),Tous publics,128 min,"Action, Adventure, Drama","7,7",98 083,$4.91M
1005,Le shérif est en prison,(1974),Tous publics,93 min,"Comedy, Western","7,7",144 351,$119.50M
1006,3h10 pour Yuma,(2007),18,122 min,"Action, Crime, Drama","7,7",319 767,$53.61M
1007,Comancheria,(II) (2016),Tous publics avec avertissement,102 min,"Crime, Drama, Thriller","7,6",238 499,$26.86M
1008,True Grit,(2010),Tous publics,110 min,"Drama, Western","7,6",346 462,$171.24M
1009,Jeremiah Johnson,(1972),Tous publics,108 min,"Adventure, Drama, Western","7,6",33 041,$47.74M
1010,Géant,(1956),Tous publics,201 min,"Drama, Western","7,6",,
1011,L'Homme des vallées perdues,(1953),Tous publics,118 min,"Drama, Western","7,6",42 345,$20.00M
1012,Le dernier des géants,(1976),Tous publics,100 min,"Drama, Romance, Western","7,6",,
1013,Il était une fois... la révolution,(1971),Tous publics,157 min,"Drama, War, Western","7,6",35 883,$0.70M
1014,John McCabe,(1971),12,120 min,"Drama, Western","7,6",26 298,$8.20M
1015,Légendes d'automne,(1994),Tous publics,133 min,"Drama, Romance, War","7,5",172 820,$66.64M
1016,L'assassinat de Jesse James par le lâche Robert Ford,(2007),Tous publics,160 min,"Biography, Crime, Drama","7,5",186 704,$3.90M
1017,El Dorado,(1966),Tous publics,126 min,"Drama, Romance, Western","7,5",28 603,$12.97M
1018,Des souris et des hommes,(1992),Tous publics,115 min,"Drama, Western","7,5",45 104,$5.10M
1019,Dead Man,(1995),Tous publics,121 min,"Adventure, Drama, Fantasy","7,5",99 652,$1.04M
1020,Little Big Man,(1970),Tous publics,139 min,"Adventure, Comedy, Drama","7,5",36 576,$31.56M
1021,Open Range,(2003),Tous publics,139 min,"Action, Drama, Romance","7,4",75 352,$58.33M
1022,Retour vers le futur 3,(1990),Tous publics,118 min,"Adventure, Comedy, Sci-Fi","7,4",459 706,$87.73M
1023,L'homme des hautes plaines,(1973),Tous publics,105 min,"Drama, Mystery, Western","7,4",60 726,$15.70M
1024,100 dollars pour un shérif,(1969),12,128 min,"Adventure, Drama, Western","7,4",49 234,$31.13M
1025,Lone Star,(1996),Tous publics,135 min,"Drama, Mystery, Western","7,4",30 674,$13.27M
1026,Yahsi Bati,(2009),,112 min,"Adventure, Comedy, Fantasy","7,4",,
1027,La ballade de Buster Scruggs,(2018),16,133 min,"Comedy, Drama, Musical","7,3",,
1028,Pale Rider - Le cavalier solitaire,(1985),Tous publics,115 min,"Drama, Western","7,3",61 778,$41.41M
1029,Les sept femmes de Barberousse,(1954),Tous Public,102 min,"Comedy, Drama, Musical","7,3",26 035,$9.40M
1030,Mon nom est Personne,(1973),Tous publics,116 min,"Comedy, Drama, Western","7,3",28 245,$0.39M
