ID;Nom;Année de sortie;Classification;Durée (min);Genre1;Genre2;Genre3
677;Hair;1979;Tous publics;121;Comedy; Drama; Musical
678;Pinocchio;1940;Tous publics;88;Animation; Adventure; Comedy
679;Monty Python, le sens de la vie;1983;Tous publics;107;Comedy; Musical;
680;Les aventures de Winnie l'ourson;1977;Tous publics;74;Animation; Adventure; Comedy
681;Aynabaji;2016;;147;Crime; Mystery; Thriller
682;Jai Bhim;2021;;164;Crime; Drama; Mystery
683;La ligne verte;1999;12;189;Crime; Drama; Fantasy
684;Seven;1995;12;127;Crime; Drama; Mystery
685;Le voyage de Chihiro;2001;Tous publics;125;Animation; Adventure; Family
686;Harakiri;1962;Tous publics;133;Action; Drama; Mystery
687;Sita Ramam;2022;;163;Action; Drama; Mystery
688;Le Prestige;2006;Tous publics;130;Drama; Mystery; Sci-Fi
689;Usual Suspects;1995;Tous publics;106;Crime; Drama; Mystery
690;Psychose;1960;18;109;Horror; Mystery; Thriller
691;Fenêtre sur cour;1954;Tous publics;112;Mystery; Thriller;
692;Old Boy;2003;16;120;Action; Drama; Mystery
693;Apocalypse Now;1979;Tous publics avec avertissement;147;Drama; Mystery; War
694;Memento;2000;Tous publics;113;Mystery; Thriller;
695;Coco;2017;Tous publics;105;Animation; Adventure; Comedy
696;La vie des autres;2006;Tous publics;137;Drama; Mystery; Thriller
697;Témoin à charge;1957;Tous publics;116;Crime; Drama; Mystery
698;Entre le ciel et l'enfer;1963;Tous publics;143;Crime; Drama; Mystery
699;Incendies;2010;Tous publics avec avertissement;131;Drama; Mystery;
700;Sueurs froides;1958;Tous publics;128;Mystery; Romance; Thriller
701;Citizen Kane;1941;Tous publics;119;Drama; Mystery;
702;La mort aux trousses;1959;Tous publics;136;Action; Adventure; Mystery
703;M le maudit;1931;Tous publics;118;Crime; Mystery; Thriller
704;Assurance sur la mort;1944;Tous publics;107;Crime; Drama; Film-Noir
705;Ratsasan;2018;;170;Action; Crime; Drama
706;Shutter Island;2010;12;138;Mystery; Thriller;
707;The Father;2020;Tous publics;97;Drama; Mystery;
708;The Thing;1982;13;109;Horror; Mystery; Sci-Fi
709;Sixième sens;1999;12;107;Drama; Mystery; Thriller
710;Chinatown;1974;12;130;Drama; Mystery; Thriller
711;L.A. Confidential;1997;Tous publics;138;Crime; Drama; Mystery
712;Dans ses yeux;2009;Tous publics;129;Drama; Mystery; Romance
713;Drishyam 2;2022;13;140;Crime; Drama; Mystery
714;Rashomon;1950;Tous publics;88;Crime; Drama; Mystery
715;Drishyam;2015;18;163;Crime; Drama; Mystery
716;Andhadhun;2018;;139;Crime; Mystery; Thriller
717;Prisoners;2013;12;153;Crime; Drama; Mystery
718;Les Dents de la mer;1975;13;124;Adventure; Mystery; Thriller
719;Gone Girl;2014;Tous publics avec avertissement;149;Drama; Mystery; Thriller
720;Harry Potter et les Reliques de la Mort : partie 2;2011;Tous publics;130;Adventure; Family; Fantasy
721;Memories of Murder;2003;Tous publics;131;Crime; Drama; Mystery
722;Le troisième homme;1949;Tous publics;104;Film-Noir; Mystery; Thriller
723;Rebecca;1940;Tous publics;130;Drama; Film-Noir; Mystery
724;Trois couleurs: Rouge;1994;Tous publics;99;Drama; Mystery; Romance
725;Les diaboliques;1955;Tous publics;117;Crime; Drama; Horror
726;The Tashkent Files;2019;;134;Drama; Mystery; Thriller
727;A Wednesday;2008;;104;Action; Crime; Drama
728;Guilty;2015;;132;Crime; Drama; Mystery
729;Article 15;2019;;130;Crime; Drama; Mystery
730;Kahaani;2012;;122;Mystery; Thriller;
731;Forrest Gump;1994;Tous publics;142;Drama; Romance;
732;La vie est belle;1997;Tous publics;116;Comedy; Drama; Romance
733;La vie est belle;1946;Tous publics;130;Drama; Family; Fantasy
734;Sita Ramam;2022;;163;Action; Drama; Mystery
735;Casablanca;1942;Tous publics;102;Drama; Romance; War
736;Cinéma Paradiso;1988;Tous publics;155;Drama; Romance;
737;Les temps modernes;1936;Tous publics;87;Comedy; Drama; Romance
738;Les lumières de la ville;1931;Tous publics;87;Comedy; Drama; Romance
739;96;2018;Tous publics;158;Drama; Romance;
740;Your Name.;2016;Tous publics;106;Animation; Drama; Fantasy
741;Dil Bechara;2020;;101;Comedy; Drama; Romance
742;Will Hunting;1997;Tous publics;126;Drama; Romance;
743;Eternal Sunshine of the Spotlessd;2004;Tous publics;108;Drama; Romance; Sci-Fi
744;Chantons sous la pluie;1952;Tous publics;103;Comedy; Musical; Romance
745;Le fabuleux destin d'Amélie Poulain;2001;Tous publics;122;Comedy; Romance;
746;Sueurs froides;1958;Tous publics;128;Mystery; Romance; Thriller
747;La garçonnière;1960;Tous publics;125;Comedy; Drama; Romance
748;Chhichhore;2019;;143;Comedy; Drama; Romance
749;Autant en emporte le vent;1939;Tous publics;238;Drama; Romance; War
750;Certains l'aiment chaud;1959;12;121;Comedy; Music; Romance
751;Dans ses yeux;2009;Tous publics;129;Drama; Mystery; Romance
752;On ne vit qu'une seule fois;2011;;155;Comedy; Drama; Musical
