ID;Nom;Année de sortie;Classification;Durée (min);Note;Nombre de votant;Revenus;Genre1;Genre2;Genre3
350;Le voyage de Chihiro;2001;Tous publics;125;8,6;787 478;$10.06M;Animation; Adventure; Family
351;La vie est belle;1946;Tous publics;130;8,6;;;Drama; Family; Fantasy
352;Le Roi Lion;1994;Tous publics;88;8,5;1 082 777;$422.78M;Animation; Adventure; Drama
353;Spider-Man: New Generation;2018;Tous publics;117;8,4;560 624;$190.24M;Animation; Action; Adventure
354;Coco;2017;Tous publics;105;8,4;531 894;$209.73M;Animation; Adventure; Comedy
355;WALL·E;2008;Tous publics;98;8,4;1 140 441;$223.81M;Animation; Adventure; Family
356;Toy Story;1995;Tous publics;81;8,3;1 015 842;$191.80M;Animation; Adventure; Comedy
357;Là-haut;2009;Tous publics;96;8,3;1 067 109;$293.00M;Animation; Adventure; Comedy
358;Toy Story 3;2010;Tous publics;103;8,3;853 369;$415.00M;Animation; Adventure; Comedy
359;Taare Zameen Par;2007;PG;165;8,3;197 652;$1.22M;Drama; Family;
360;Le Kid;1921;Tous publics;68;8,3;129 098;$5.45M;Comedy; Drama; Family
361;Le château ambulant;2004;Tous publics;119;8,2;410 497;$4.71M;Animation; Adventure; Family
362;Le Monde de Nemo;2003;Tous publics;100;8,2;1 064 492;$380.84M;Animation; Adventure; Comedy
363;La légende de Klaus;2019;7;96;8,2;;;Animation; Adventure; Comedy
364;Les enfants du ciel;1997;Tous publics;89;8,2;76 569;$0.93M;Drama; Family; Sport
365;Mon père et mon fils;2005;Tous publics;112;8,2;;;Drama; Family;
366;Ratatouille;2007;Tous publics;111;8,1;763 898;$206.45M;Animation; Adventure; Comedy
367;Harry Potter et les Reliques de la Mort : partie 2;2011;Tous publics;130;8,1;898 557;$381.01M;Adventure; Family; Fantasy
368;Le magicien d'Oz;1939;Tous publics;102;8,1;409 654;$2.08M;Adventure; Family; Fantasy
369;Vice-versa;2015;Tous publics;95;8,1;734 398;$356.46M;Animation; Adventure; Comedy
370;Monstres & Cie;2001;Tous publics;92;8,1;930 114;$289.92M;Animation; Adventure; Comedy
371;Dragons;2010;Tous publics;98;8,1;759 575;$217.58M;Animation; Action; Adventure
372;La mélodie du bonheur;1965;Tous publics;172;8,1;244 080;$163.21M;Biography; Drama; Family
373;Hatchi;2009;Tous publics;93;8,1;;;Biography; Drama; Family
374;Mon voisin Totoro;1988;Tous publics;86;8,1;351 604;$1.11M;Animation; Comedy; Family
375;Le géant de fer;1999;Tous publics;86;8,1;208 262;$23.16M;Animation; Action; Adventure
376;Les enfants loups, Ame & Yuki;2012;Tous publics;117;8,1;;;Animation; Drama; Family
377;Chak De! India;2007;;153;8,1;82 160;$1.11M;Drama; Family; Sport
378;Le cirque;1928;Tous publics;72;8,1;;;Comedy; Family; Romance
379;Princess Bride;1987;Tous publics;98;8,0;435 489;$30.86M;Adventure; Comedy; Family
380;Les Indestructibles;2004;Tous publics;115;8,0;759 433;$261.44M;Animation; Action; Adventure
